                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0587,                 3.5765,                 1.8419,                0.01641,                0.05356,                0.00866,                0.00341,                 2.4726,                  3.535,                 1.6368,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.7965,                 3.5235,                 1.7387,                0.04051,                0.13222,                0.02323,                0.00865,                  2.418,                 3.4655,                 1.5257,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 2.6028,                 3.3343,                 1.5723,                0.07462,                0.24351,                0.05298,                0.01869,                 2.3928,                  3.368,                 1.4318,             0.00015683,             0.00015683,             0.00015683
                      4,                 2.6082,                 3.1073,                 1.4863,                0.09923,                0.32385,                0.07692,                0.02667,                 2.3399,                 3.2709,                 1.3858,             0.00021347,             0.00021347,             0.00021347
                      5,                 2.5411,                 2.7488,                 1.4188,                0.09692,                0.31632,                0.07362,                0.02609,                 2.3415,                 3.2185,                 1.4098,             0.00026891,             0.00026891,             0.00026891
                      6,                 2.5074,                 2.3694,                 1.3474,                0.09333,                 0.3046,                0.07267,                0.02454,                 2.3376,                 3.1616,                 1.4449,             0.00032317,             0.00032317,             0.00032317
                      7,                 2.5218,                 2.2548,                 1.3624,                0.12359,                0.40335,                0.10763,                0.03845,                 2.3023,                 2.9924,                 1.4465,             0.00037624,             0.00037624,             0.00037624
                      8,                 2.4611,                 2.1199,                 1.3636,                0.12949,                0.42259,                0.12794,                0.04601,                 2.2739,                 2.9082,                 1.4484,             0.00042812,             0.00042812,             0.00042812
                      9,                 2.4456,                 2.0655,                 1.3281,                0.13821,                0.45105,                0.12667,                 0.0478,                 2.2362,                 2.7941,                 1.4502,             0.00047882,             0.00047882,             0.00047882
                     10,                 2.4565,                 2.0027,                 1.3106,                0.12795,                0.41757,                0.11392,                 0.0444,                 2.2365,                 2.7468,                 1.4469,             0.00052832,             0.00052832,             0.00052832
                     11,                 2.5016,                 1.9896,                 1.2983,                0.13462,                0.43933,                0.12727,                0.04737,                 2.2715,                 2.6023,                 1.4513,             0.00057664,             0.00057664,             0.00057664
                     12,                 2.4519,                 1.9735,                 1.2824,                0.15513,                0.50628,                0.16803,                0.06479,                 2.2587,                 2.4745,                 1.4491,             0.00062377,             0.00062377,             0.00062377
                     13,                 2.4464,                  1.868,                 1.2844,                0.24061,                0.31552,                0.23041,                0.08443,                 2.3057,                 2.2857,                 1.4864,             0.00066971,             0.00066971,             0.00066971
                     14,                 2.4878,                 1.8042,                 1.2973,                0.30631,                0.26946,                0.23227,                 0.0854,                 2.3216,                 2.2827,                 1.4987,             0.00071447,             0.00071447,             0.00071447
                     15,                 2.4529,                 1.8495,                  1.298,                0.20524,                 0.2671,                0.15641,                0.05614,                 2.4297,                  2.455,                 1.5466,             0.00075803,             0.00075803,             0.00075803
                     16,                 2.4096,                  1.821,                 1.2574,                0.15926,                0.29289,                0.12885,                0.04777,                 2.4652,                 2.5135,                 1.5654,             0.00080041,             0.00080041,             0.00080041
                     17,                 2.4034,                 1.8366,                 1.2855,                0.23495,                 0.3205,                0.19003,                0.07178,                 2.3543,                  2.265,                 1.4876,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.3888,                 1.8094,                 1.2968,                0.26028,                0.39079,                   0.24,                0.09515,                  2.276,                 2.0823,                 1.4269,              0.0008816,              0.0008816,              0.0008816
